The CCLE Results relative to 644241
CCLE Name	Target	Does	IC50
KO52	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KP-1N	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KP-1NL	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KP-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KP-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KP4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KP-N-SI9s	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.412808418	
KU812	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.016822226	
KURAMOCHI	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KYSE-30	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KYSE-410	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.128837109	
KYSE-520	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.504006386	
L3.3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
L-363	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
L-428	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.550229549	
LC-1/sq-SF	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LCLC-103H	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LN-18	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LN-229	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.401216984	
LOU-NH91	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LP-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.030470371	
LS123	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LS513	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LU99	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
LUDLU-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.289455414	
M059J	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Malme-3M	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.411684036	
MB 157	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.224921905	
MC116	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MCAS	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MCF7	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MDA-MB-157	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MDA-MB-175-VII	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MDA-MB-415	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.974702597	
MDA-MB-435S	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.421111584	
MDA-MB-436	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MDA-MB-453	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MDA-MB-468	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.322463036	
MEC-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.008265495	
MEG-01	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.069269069	
MEL-HO	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.266346931	
MES-SA	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MeWo	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MFE-280	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MG-63	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MHH-ES-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.536269426	
MIA PaCa-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Mino	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MJ	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MKN-45	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MKN7	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MKN74	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MOG-G-CCM	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MOLP-8	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MOLT-16	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.131068909	
MONO-MAC-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.887146473	
MPP 89	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
MSTO-211H	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.937797546	
NCI-H1048	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1092	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1184	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1339	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.78498888	
NCI-H1341	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1355	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1373	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1563	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1568	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1573	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1581	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1648	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.590958595	
NCI-H1650	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1651	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1666	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.710957527	
NCI-H1693	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1694	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1792	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1793	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1869	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1915	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1944	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H1975	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2009	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2023	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.014651299	
NCI-H2030	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2052	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2085	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2087	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.089197159	
NCI-H211	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.046969891	
NCI-H2122	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.855627537	
NCI-H2170	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.32824254	
NCI-H2172	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2228	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H226	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2286	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.386837244	
NCI-H23	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.43892622	
NCI-H2444	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H2452	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H28	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H322	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H3255	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.134063244	
NCI-H358	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H441	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H520	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H522	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H647	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H650	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H661	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
NCI-H727	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
