The CCLE Results relative to 10206158
CCLE Name	Target	Does	IC50
IGROV1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
IM95	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.19030641	
IMR-32	2	.0080	.025	.080	.25	.80	2.53	8	8	
IPC-298	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.006270713	
Ishikawa (Heraklio) 02 ER-	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
IST-MES1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
IST-MES2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
J82	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
JHH-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	6.222815514	
JHH-4	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.750053167	
JHH-5	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.288739204	
JHH-6	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
JHH-7	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.476406842	
JHOS-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
JHOS-4	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
JHUEM-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	5.034770489	
JM1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
JMSU-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.420838833	
JURKAT	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
JVM-3	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
K029AX	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.080208279	
KALS-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.966596365	
KARPAS-299	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.644625247	
KARPAS-422	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KARPAS-620	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.015687533	
KASUMI-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KCI-MOH1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.392702222	
KCL-22	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.054352019	
