height	rank	name
2.7391	501	SNB75
2.7456	502	NCI-H1417
2.749	503	IM-9
2.7502	504	BE-13
2.7726	505	TE-441-T
2.7814	506	SIMA
2.7901	507	OMC-1
2.791	508	NCI-N87
2.7947	509	IGROV-1
2.8046	510	Calu-6
2.819	511	SKM-1
2.8278	512	HCC1806
2.8281	513	NCI-H2052
2.8313	514	RCM-1
2.8371	515	NCI-H2081
2.8478	516	TGBC1TKB
2.8622	517	SNU-475
2.8638	518	DV-90
2.8677	519	TYK-nu
2.8734	520	Mo-T
2.8787	521	EW-24
2.9022	522	CAL-148
2.9103	523	Mewo
2.9314	524	KU-19-19
2.9356	525	NCI-H2141
2.9496	526	Caov-4
2.9643	527	EW-3
2.9646	528	MLMA
2.9717	529	GI-ME-N
2.9752	530	NCI-H838
2.976	531	CAL-72
2.9778	532	UACC-257
2.987	533	CP50-MEL-B
2.9881	534	U-87-MG
2.9901	535	Caov-3
2.9924	536	CHP-126
2.9951	537	NCI-H596
2.9969	538	SCC-9
3.0034	539	NCI-H128
3.0105	540	SW1088
3.0172	541	RPMI-8402
3.0202	542	ECC10
3.0301	543	MFE-280
3.0394	544	CAKI-1
3.0472	545	NCI-H1963
3.0543	546	HDLM-2
3.0779	547	EW-7
3.0893	548	BT-20
3.0936	549	SKG-IIIa
3.1084	550	DBTRG-05MG
3.1121	551	NCI-H1092
3.1132	552	NCI-H524
3.1155	553	K052
3.118	554	EVSA-T
3.1396	555	DMS-53
3.1574	556	KYSE-520
3.1615	557	SK-MEL-2
3.1643	558	COLO-829
3.1731	559	HO-1-N-1
3.1827	560	L-363
3.1846	561	DMS-114
3.2038	562	MDA-MB-175-VII
3.2103	563	SW780
3.2118	564	EW-12
3.2381	565	LC-1F
3.2403	566	TE-1
3.2446	567	RPMI-8226
3.2461	568	KNS-81-FD
3.25	569	FTC-133
3.2533	570	M14
3.2603	571	NCI-H1755
3.261	572	SF539
3.2632	573	SW756
3.2665	574	IPC-298
3.2734	575	CP66-MEL
3.2788	576	LC4-1
3.2819	577	HuO-3N1
3.2827	578	RERF-LC-MS
3.2848	579	NCI-H1623
3.296	580	SNU-C1
3.3158	581	NB6
3.3169	582	T47D
3.3173	583	PC-3
3.3202	584	DK-MG
3.3381	585	SW1573
3.3454	586	U-2-OS
3.3623	587	WM-115
3.3653	588	A498
3.3669	589	LS-513
3.3688	590	MDA-MB-157
3.3707	591	TALL-1
3.3818	592	DB
3.3823	593	TE-6
3.3825	594	NCI-H1563
3.3881	595	NCI-H2171
3.3898	596	AsPC-1
3.4129	597	SHP-77
3.4166	598	HCC1187
3.4174	599	RCC10RGB
3.4183	600	HCC70
3.423	601	SK-MEL-28
3.4235	602	MDA-MB-134-VI
3.4274	603	NCI-H187
3.4282	604	NCI-H716
3.4383	605	T-24
3.4393	606	NCI-H1395
3.4395	607	HOP-92
3.4504	608	HT-1197
3.4504	609	HPAF-II
3.4539	610	HD-MY-Z
3.4567	611	SW900
3.4637	612	OVCAR-5
3.4652	613	PANC-08-13
3.4669	614	NCI-H2029
3.4738	615	DG-75
3.4826	616	SK-N-AS
3.4879	617	COLO-680N
3.4905	618	COLO-678
3.5038	619	GCT
3.515	620	SCC-15
3.5281	621	LK-2
3.5346	622	ES7
3.5391	623	OPM-2
3.5487	624	UACC-893
3.5557	625	JVM-2
3.5593	626	DOK
3.5616	627	KY821
3.571	628	LB373-MEL-D
3.5876	629	LOXIMVI
3.5902	630	NCI-H2126
3.5922	631	NCI-H719
3.5935	632	SK-MEL-24
3.5955	633	LN-405
3.5983	634	KARPAS-299
3.601	635	JAR
3.6102	636	D-502MG
3.6105	637	EKVX
3.6139	638	THP-1
3.6223	639	EC-GI-10
3.6262	640	SW684
3.6265	641	NCI-H1694
3.6409	642	DMS-79
3.647	643	HN
3.6495	644	TCCSUP
3.6619	645	NCI-H1793
3.6721	646	S-117
3.6734	647	LU-165
3.6778	648	CAL-54
3.6812	649	SW1417
3.6939	650	NCI-H1838
3.6967	651	LU-139
3.6977	652	EFE-184
3.6985	653	NCI-H2452
3.7012	654	D-283MED
3.7066	655	SiHa
3.7067	656	HCC1419
3.7147	657	D-542MG
3.7251	658	COLO-800
3.7274	659	KINGS-1
3.7383	660	ES5
3.7411	661	NCI-H1581
3.7438	662	SBC-1
3.7447	663	JVM-3
